x;y;layer1;layer2;voltage1;voltage2;current
1162.65;3601.13;GP1_GND_;L3;0.000111506;0.000111506;8.54504e-16
1162.65;3601.13;L3;L4;0.000111506;0.000111506;-0
1162.65;3601.13;L4;P3V3;0.000111506;0.000111506;-1.70901e-15
1162.65;3601.13;P3V3;BOT;0.000111506;0.000111506;-2.51604e-15
1125.82;3390.92;TOP;GP1_GND_;0.00010979;0.00010979;-2.16109e-16
1125.82;3390.92;GP1_GND_;L3;0.00010979;0.00010979;-3.66978e-16
1125.82;3390.92;L3;L4;0.00010979;0.00010979;-4.32219e-16
1125.82;3390.92;L4;P3V3;0.00010979;0.00010979;-3.91443e-16
1125.82;3390.92;P3V3;BOT;0.00010979;0.00010979;-4.32219e-16
1169.12;2377.36;TOP;GP1_GND_;3.29642;3.29642;-5.90123e-12
1169.12;2377.36;GP1_GND_;L3;3.29642;3.29642;-6.01257e-12
1169.12;2377.36;L3;L4;3.29642;3.29642;-5.90123e-12
1169.12;2377.36;L4;P3V3;3.29642;3.29642;-6.41341e-12
1169.12;2377.36;P3V3;BOT;3.29642;3.29642;-1.18024e-11
1173.18;2629.05;TOP;GP1_GND_;9.30418e-05;9.3289e-05;-0.000657135
1173.18;2629.05;GP1_GND_;L3;9.3289e-05;9.3289e-05;-3.3028e-16
1173.18;2629.05;L3;L4;9.3289e-05;9.3289e-05;-3.24164e-16
1173.18;2629.05;L4;P3V3;9.3289e-05;9.3289e-05;-3.3028e-16
1173.18;2629.05;P3V3;BOT;9.3289e-05;9.3289e-05;-3.60182e-16
1183.05;1709.03;TOP;GP1_GND_;2.49952;2.49952;-1.18025e-12
1183.05;1709.03;GP1_GND_;L3;2.49952;2.49952;-2.40503e-12
1183.05;1709.03;L3;L4;2.49952;2.49952;-2.36049e-12
1183.05;1709.03;L4;P3V3;2.49952;2.49952;-8.81844e-12
1183.05;1709.03;P3V3;BOT;2.49952;2.49952;-9.44196e-12
1183.05;2122.37;TOP;GP1_GND_;2.49976;2.49975;0.0360166
1183.05;2122.37;GP1_GND_;L3;2.49975;2.49971;0.0360166
1183.05;2122.37;L3;L4;2.49971;2.4997;0.0360166
1183.05;2122.37;L4;P3V3;2.4997;2.4997;-8.81844e-12
1183.05;2122.37;P3V3;BOT;2.4997;2.4997;-9.44196e-12
1183.05;2170.79;TOP;GP1_GND_;2.49977;2.49976;0.0246032
1183.05;2170.79;GP1_GND_;L3;2.49976;2.49973;0.0246032
1183.05;2170.79;L3;L4;2.49973;2.49972;0.0246032
1183.05;2170.79;L4;P3V3;2.49972;2.49972;-8.81844e-12
1183.05;2170.79;P3V3;BOT;2.49972;2.49972;-9.44196e-12
1183.05;2219.21;TOP;GP1_GND_;2.49978;2.49977;0.0264133
1183.05;2219.21;GP1_GND_;L3;2.49977;2.49974;0.0264133
1183.05;2219.21;L3;L4;2.49974;2.49973;0.0264133
1183.05;2219.21;L4;P3V3;2.49973;2.49973;-8.81844e-12
1183.05;2219.21;P3V3;BOT;2.49973;2.49973;-9.44196e-12
1183.05;2267.63;TOP;GP1_GND_;2.49978;2.49977;0.0258098
1183.05;2267.63;GP1_GND_;L3;2.49977;2.49975;0.0258098
1183.05;2267.63;L3;L4;2.49975;2.49974;0.0258098
1183.05;2267.63;L4;P3V3;2.49974;2.49974;-8.81844e-12
1183.05;2267.63;P3V3;BOT;2.49974;2.49974;-9.44196e-12
1183.05;2313.86;TOP;GP1_GND_;2.49979;2.49978;0.027157
1183.05;2313.86;GP1_GND_;L3;2.49978;2.49975;0.027157
1183.05;2313.86;L3;L4;2.49975;2.49974;0.027157
1183.05;2313.86;L4;P3V3;2.49974;2.49974;-8.81844e-12
1183.05;2313.86;P3V3;BOT;2.49974;2.49974;-9.44196e-12
1191.73;952.334;TOP;GP1_GND_;2.404e-05;2.404e-05;4.50228e-17
1191.73;952.334;GP1_GND_;L3;2.404e-05;1.78391e-05;0.00559693
1191.73;952.334;L3;L4;1.78391e-05;1.57332e-05;0.00559693
1191.73;952.334;L4;P3V3;1.57332e-05;1.57332e-05;-5.50467e-17
1191.73;952.334;P3V3;BOT;1.57332e-05;1.57332e-05;-6.30319e-17
1193.74;2899.85;TOP;GP1_GND_;0.000103137;0.000103137;-2.88146e-16
1193.74;2899.85;GP1_GND_;L3;0.000103137;0.000103137;-3.54746e-16
1193.74;2899.85;L3;L4;0.000103137;0.000103137;-3.96201e-16
1193.74;2899.85;L4;P3V3;0.000103137;0.000103137;-3.66978e-16
1193.74;2899.85;P3V3;BOT;0.000103137;0.000103137;-3.96201e-16
1208.6;3214.57;TOP;GP1_GND_;4.99947;4.99949;-0.059
1208.6;3214.57;GP1_GND_;L3;4.99949;4.99956;-0.059
1208.6;3214.57;L3;L4;4.99956;4.99958;-0.059
1208.6;3214.57;L4;P3V3;4.99958;4.99958;-8.81844e-12
1208.6;3214.57;P3V3;BOT;4.99958;4.99958;-9.44196e-12
1224.24;1462.77;TOP;GP1_GND_;-2.49936;-2.49936;1.18025e-12
1224.24;1462.77;GP1_GND_;L3;-2.49936;-2.49936;2.40503e-12
1224.24;1462.77;L3;L4;-2.49936;-2.49936;2.36049e-12
1224.24;1462.77;L4;P3V3;-2.49936;-2.49936;8.81844e-12
1224.24;1462.77;P3V3;BOT;-2.49936;-2.49936;9.44196e-12
1224.43;1789.37;TOP;GP1_GND_;-2.49941;-2.49941;-3.54074e-12
1224.43;1789.37;GP1_GND_;L3;-2.49941;-2.49941;-2.40503e-12
1224.43;1789.37;L3;L4;-2.49941;-2.49941;-1.18025e-12
1224.43;1789.37;L4;P3V3;-2.49941;-2.49941;8.81844e-12
1224.43;1789.37;P3V3;BOT;-2.49941;-2.49941;9.44196e-12
1224.98;3017.1;TOP;GP1_GND_;-4.99952;-4.99953;0.0295171
1224.98;3017.1;GP1_GND_;L3;-4.99953;-4.99956;0.0295171
1224.98;3017.1;L3;L4;-4.99956;-4.99956;1.18024e-11
1224.98;3017.1;L4;P3V3;-4.99956;-4.99956;1.36285e-11
1224.98;3017.1;P3V3;BOT;-4.99956;-4.99956;1.65234e-11
