x,y,layer1,layer2,voltage1,voltage2,current
969.437,1643.96,GP1_GND_,L3,-11.9955,-11.9955,0.1
969.437,1643.96,L3,L4,-11.9955,-11.9955,0.1
969.437,1643.96,L4,P3V3,-11.9955,-11.9955,1.64209e-10
969.437,1643.96,P3V3,BOT,-11.9955,-11.9955,1.27238e-10
969.437,1943.96,TOP,GP1_GND_,7.08159e-05,7.08155e-05,4.87905e-06
969.437,1943.96,GP1_GND_,L3,7.08155e-05,7.08155e-05,-9.89063e-16
969.437,1943.96,L3,L4,7.08155e-05,7.08155e-05,-7.76598e-16
969.437,1943.96,L4,P3V3,7.08155e-05,7.08155e-05,-9.23126e-16
969.437,1943.96,P3V3,BOT,7.08155e-05,7.08155e-05,-9.70747e-16
969.437,2243.96,TOP,GP1_GND_,8.22292e-05,8.22298e-05,-8.81692e-06
969.437,2243.96,GP1_GND_,L3,8.22298e-05,8.22298e-05,-1.18688e-15
969.437,2243.96,L3,L4,8.22298e-05,8.22298e-05,-1.1649e-15
969.437,2243.96,L4,P3V3,8.22298e-05,8.22298e-05,-1.18688e-15
969.437,2243.96,P3V3,BOT,8.22298e-05,8.22298e-05,-1.1649e-15
983.099,3390.92,TOP,GP1_GND_,0.000108611,0.000108611,-3.96201e-16
983.099,3390.92,GP1_GND_,L3,0.000108611,0.000108611,-3.79211e-16
983.099,3390.92,L3,L4,0.000108611,0.000108611,-3.96201e-16
983.099,3390.92,L4,P3V3,0.000108611,0.000108611,-3.79211e-16
983.099,3390.92,P3V3,BOT,0.000108611,0.000108611,-4.32219e-16
1002.87,1110.71,TOP,GP1_GND_,3.29642,3.29642,1.29827e-11
1002.87,1110.71,GP1_GND_,L3,3.29642,3.29642,1.16243e-11
1002.87,1110.71,L3,L4,3.29642,3.29642,1.18024e-11
1002.87,1110.71,L4,P3V3,3.29642,3.29642,1.16243e-11
1002.87,1110.71,P3V3,BOT,3.29642,3.29642,0.001
1073.61,1013.79,TOP,GP1_GND_,3.1517e-05,3.1517e-05,-1.08055e-16
1073.61,1013.79,GP1_GND_,L3,3.1517e-05,2.528e-05,0.00562954
1073.61,1013.79,L3,L4,2.528e-05,2.31618e-05,0.00562954
1073.61,1013.79,L4,P3V3,2.31618e-05,2.31618e-05,-8.25701e-17
1073.61,1013.79,P3V3,BOT,2.31618e-05,2.31618e-05,-8.1041e-17
1074.23,789.188,TOP,GP1_GND_,3.29642,3.29642,9.44196e-12
1074.23,789.188,GP1_GND_,L3,3.29642,3.29642,8.81844e-12
1074.23,789.188,L3,L4,3.29642,3.29642,9.44196e-12
1074.23,789.188,L4,P3V3,3.29642,3.29642,9.21927e-12
1074.23,789.188,P3V3,BOT,3.29642,3.29642,-1.18024e-11
1094.2,3160.6,TOP,GP1_GND_,0.000108382,0.000108382,1.80091e-16
1094.2,3160.6,GP1_GND_,L3,0.000108382,0.000108382,-3.79211e-16
1094.2,3160.6,L3,L4,0.000108382,0.000108382,-3.96201e-16
1094.2,3160.6,L4,P3V3,0.000108382,0.000108382,-3.79211e-16
1094.2,3160.6,P3V3,BOT,0.000108382,0.000108382,-4.32219e-16
1101.44,3040.31,TOP,GP1_GND_,0.000106307,0.000106307,-3.60182e-17
1101.44,3040.31,GP1_GND_,L3,0.000106307,0.000106307,-3.66978e-16
1101.44,3040.31,L3,L4,0.000106307,0.000106307,-3.96201e-16
1101.44,3040.31,L4,P3V3,0.000106307,0.000106307,-3.91443e-16
1101.44,3040.31,P3V3,BOT,0.000106307,0.000106307,-3.96201e-16
1162.65,254.67,TOP,GP1_GND_,1.9796e-05,1.9796e-05,1.57253e-16
